ages 110+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,9.99990000099999e-06,1.000010000100001e-05,1.999980000199998e-05,3e-05
ages 105-109,3e-05,3.000030000300003e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1.000010000100001e-05,1.000010000100001e-05,2.000020000200002e-05,2.000020000200002e-05,2e-05,3.000030000300003e-05,4e-05,8e-05,0.00023,0.00034999650003499967,0.0005000050000500005,0.0006699933000669994,0.00099
ages 100-104,0.00036,0.00027000270002700027,0.00011,9e-05,7.000140002800056e-05,4e-05,6e-05,8.000080000800008e-05,3.000060001200024e-05,4.000120003600108e-05,4.999950000499995e-05,0.0001000020000400008,0.00017,0.00025,0.0002100021000210002,0.0003500035000350004,0.0004000040000400004,0.0005400054000540005,0.00047,0.0007200072000720007,0.00102,0.00166,0.00355,0.005299947000529995,0.007550075500755008,0.01044989550104499,0.01477
ages 95-99,0.00233,0.0017300173001730018,0.00086,0.00088,0.000870017400348007,0.00045,0.00065,0.000910009100091001,0.0004600092001840037,0.0006700201006030181,0.0007199928000719992,0.0013400268005360108,0.00212,0.003,0.002930029300293003,0.004410044100441005,0.004910049100491005,0.006300063000630006,0.0059,0.008080080800808008,0.0107,0.01506,0.02432,0.03375966240337597,0.04596045960459605,0.06138938610613894,0.08009
ages 90-94,0.00923,0.007370073700737007,0.00409,0.00507,0.005590111802236045,0.00322,0.00367,0.005130051300513005,0.004220084401688033,0.005500165004950148,0.006099939000609994,0.008730174603492069,0.01219,0.01766,0.01988019880198802,0.024500245002450023,0.026940269402694027,0.03285032850328503,0.03326,0.042320423204232044,0.05157,0.06266,0.08042,0.1007589924100759,0.12682126821268214,0.15571844281557184,0.18332
ages 85-89,0.02122,0.01828018280182802,0.01351,0.01598,0.017910358207164145,0.01167,0.01418,0.01917019170191702,0.017680353607072142,0.022840685220556618,0.022429775702242978,0.031040620812416247,0.0401,0.05169,0.05917059170591706,0.06968069680696808,0.07347073470734708,0.08722087220872209,0.09061,0.10808108081080811,0.12648,0.13874,0.15093,0.16826831731682684,0.1871418714187142,0.2081079189208108,0.21791
ages 80-84,0.0394,0.03998039980399804,0.03168,0.03636,0.03987079741594832,0.02912,0.03356,0.044230442304423044,0.04143082861657233,0.05008150244507335,0.048349516504834954,0.0628312566251325,0.07311,0.09045,0.1001510015100151,0.11160111601116011,0.11465114651146512,0.13276132761327614,0.14231,0.16243162431624317,0.18095,0.18559,0.18216,0.18416815831841682,0.18639186391863918,0.18262817371826282,0.17385
ages 75-79,0.06088,0.057070570705707056,0.04613,0.05592,0.06749134982699655,0.05482,0.05727,0.07037070370703707,0.06720134402688054,0.07823234697040911,0.07401925980740193,0.08965179303586071,0.09636,0.10732,0.11460114601146011,0.12227122271222712,0.12418124181241813,0.14168141681416815,0.15349,0.16727167271672716,0.1769,0.17672,0.16631,0.15561844381556184,0.14507145071450714,0.12980870191298088,0.11606
ages 70-74,0.07187,0.06886068860688607,0.06257,0.06997,0.08261165223304466,0.06917,0.07259,0.08091080910809108,0.08153163063261265,0.0890426712801384,0.08510914890851091,0.09266185323706475,0.09535,0.09864,0.1018410184101841,0.1045410454104541,0.1076810768107681,0.11784117841178411,0.12883,0.13572135721357215,0.1394,0.13499,0.12456,0.11394886051139488,0.1010410104101041,0.08698913010869891,0.07469
ages 65-69,0.05866,0.06104061040610406,0.06137,0.07377,0.07329146582931659,0.06608,0.07232,0.07707077070770707,0.07737154743094862,0.08670260107803233,0.07875921240787592,0.08278165563311267,0.08088,0.07974,0.08077080770807708,0.08024080240802409,0.08225082250822509,0.08930089300893009,0.09685,0.0976209762097621,0.09699,0.09185,0.08571,0.07801921980780192,0.06789067890678907,0.05711942880571194,0.04903
ages 60-64,0.0563,0.05721057210572106,0.05611,0.05968,0.06614132282645653,0.06516,0.06723,0.07168071680716807,0.06941138822776456,0.07008210246307389,0.06807931920680793,0.06874137482749655,0.06407,0.06131,0.06054060540605406,0.06056060560605606,0.06088060880608806,0.06466064660646606,0.06867,0.06765067650676507,0.06446,0.06032,0.05627,0.05183948160518395,0.044520445204452044,0.03660963390366096,0.03142
ages 55-59,0.04671,0.04476044760447605,0.04396,0.04507,0.0500810016200324,0.05515,0.05596,0.058050580505805055,0.05997119942398848,0.0591917757532726,0.056269437305626946,0.05498109962199244,0.05008,0.04701,0.04646046460464605,0.04619046190461905,0.046200462004620045,0.047240472404724045,0.04895,0.046200462004620045,0.04209,0.03824,0.03694,0.033889661103388966,0.02825028250282503,0.023659763402365978,0.01919
ages 50-54,0.04272,0.04401044010440104,0.04312,0.04124,0.044210884217684356,0.04977,0.04982,0.05166051660516605,0.05420108402168043,0.051671550146504396,0.04816951830481695,0.044180883617672355,0.0406,0.03733,0.03717037170371704,0.037260372603726034,0.03658036580365804,0.035870358703587034,0.03625,0.03216032160321603,0.02705,0.02447,0.02474,0.021969780302196977,0.017840178401784017,0.015099849001509985,0.01182
ages 45-49,0.03573,0.03747037470374704,0.03693,0.03638,0.038900778015560314,0.04045,0.04161,0.04430044300443004,0.04601092021840437,0.04255127653829615,0.04102958970410296,0.03653073061461229,0.03392,0.0314,0.03093030930309303,0.03102031020310203,0.02998029980299803,0.028080280802808028,0.02685,0.022110221102211024,0.01739,0.01591,0.0161,0.014119858801411986,0.011490114901149012,0.00918990810091899,0.00714
